PSMS_APPLY		购置申请业务主表
PSMS_APPLY_ACCOUNT	申购经费帐号表（为了支持多经费）
PSMS_APPLY_CONFIG	采购申报通道及控制规则表
PSMS_APPLY_ENTRY	申购入口配置
PSMS_APPLY_ENTRY_CATALOG	申购入口可选采购目录配置
PSMS_APPLY_PROVIDER	申购推荐供应商表
PSMS_BUSINESS_TENDER	采购执行业务表
PSMS_BUSINESS_TENDER_ITEM	项目拆合包物资明细
PSMS_BUSINESS_TENDER_PUBLISH	
PSMS_COMM_AGENT	招标代理商列表
PSMS_COMM_EXEC_DEP	
PSMS_COMM_FINANCE	采购经费操作记录表
PSMS_COMM_ITEM	物资表（申购、分包、项目、合同、进口的物资统一采用这张表）
PSMS_COMM_ITEM_LOG	物资表（申购、分包、项目、合同、进口的物资统一采用这张表）
PSMS_COMM_ITEM_TECH	物资技术要求
PSMS_COMM_OPERATOR	采购执行经办人
PSMS_COMM_QUAL	供应商资质选项
PSMS_COMM_SHOPTYPE_CONFIG	
PSMS_COMM_WARNING	供应商警告记录表
PSMS_CONF_E_MALL	电商采购渠道
PSMS_CONF_QUAL	供应商资质选项
PSMS_CONTRACT	合同表
PSMS_CONTRACT_ACCEPT	合同验收中间表
PSMS_CONTRACT_CHANGE	合同变更表
PSMS_CONTRACT_CONFIGURE	
PSMS_CONTRACT_EXECUTE	合同执行计划
PSMS_CONTRACT_LOG	合同变化工作表
PSMS_CONTRACT_PAY	合同付款计划
PSMS_FINANCE	
PSMS_FINANCE_ACCOUNT	
PSMS_FINANCE_LOG	
PSMS_SCORE_EXPERT	专家评分表
PSMS_SCORE_SCHEME	分包评分表
PSMS_SCORE_TEMPLET	评分模板表，用于分包引用
PSMS_SCORE_TYPE	
PSMS_STD_CATALOG	国标采购目录
PSMS_STD_CATALOG_CENTRAL_ITEM	政府集采目录商品配置
PSMS_STD_IMPORT_CATALOG	中央进口设备分类目录
PSMS_STD_PROGRESS	
PSMS_STD_PROGRESS_BAK	
PSMS_STD_PROGRESS_SHOPTYPE	
PSMS_STD_PROGRESS_STATE	
PSMS_TENDER	采购执行项目表
PSMS_TENDER_AGENT_CHOOSE	代理机构抽取(选择)记录表
PSMS_TENDER_BID	报价总价情况_评标记录，报价信息
PSMS_TENDER_BID_ITEM	供应商竞价_物资明细报价详情
